instance,n_stations,run_time
instance_n=100_70.alb,62,2.9406726360321045
instance_n=100_276.alb,67,3.813946485519409
instance_n=100_100.alb,27,4.08144736289978
instance_n=100_340.alb,14,2.9743525981903076
instance_n=100_424.alb,15,4.038554430007935
instance_n=100_157.alb,27,3.1647138595581055
instance_n=100_159.alb,19,2.3459410667419434
instance_n=100_429.alb,64,4.444644212722778
instance_n=100_366.alb,70,3.1276893615722656
instance_n=100_385.alb,23,3.9322352409362793
instance_n=100_410.alb,15,4.32810115814209
instance_n=100_198.alb,14,2.8212730884552
instance_n=100_470.alb,27,5.188286542892456
instance_n=100_150.alb,66,4.8001110553741455
instance_n=100_323.alb,25,3.1074814796447754
instance_n=100_15.alb,24,2.6627228260040283
instance_n=100_184.alb,14,2.6458027362823486
instance_n=100_341.alb,16,3.0696871280670166
instance_n=100_133.alb,64,4.5596301555633545
instance_n=100_378.alb,23,4.235126972198486
instance_n=100_446.alb,67,4.271083116531372
instance_n=100_18.alb,20,2.640253782272339
instance_n=100_161.alb,23,2.745891571044922
instance_n=100_141.alb,59,4.568761110305786
instance_n=100_118.alb,15,4.140057802200317
instance_n=100_355.alb,65,3.0420479774475098
instance_n=100_189.alb,14,2.8247833251953125
instance_n=100_296.alb,61,4.289746999740601
instance_n=100_524.alb,63,5.672532558441162
instance_n=100_399.alb,25,4.120259761810303
instance_n=100_487.alb,15,5.401763916015625
instance_n=100_500.alb,14,5.178316354751587
instance_n=100_473.alb,31,5.456095933914185
instance_n=100_339.alb,15,2.7736432552337646
instance_n=100_380.alb,25,4.1048924922943115
instance_n=100_74.alb,56,3.121126174926758
instance_n=100_284.alb,60,4.344407796859741
instance_n=100_475.alb,25,5.154454946517944
instance_n=100_497.alb,14,5.276903867721558
instance_n=100_33.alb,15,2.5264391899108887
instance_n=100_383.alb,26,4.288947820663452
instance_n=100_102.alb,14,3.9900877475738525
instance_n=100_213.alb,61,2.858311176300049
instance_n=100_1.alb,24,2.5525963306427
instance_n=100_229.alb,26,4.023989915847778
instance_n=100_190.alb,14,2.8405187129974365
instance_n=100_119.alb,14,3.9671084880828857
instance_n=100_465.alb,23,5.22159481048584
instance_n=100_419.alb,15,4.556571960449219
instance_n=100_457.alb,25,4.807147026062012
instance_n=100_197.alb,15,2.9965832233428955
instance_n=100_211.alb,57,2.9635093212127686
instance_n=100_480.alb,15,5.449921369552612
instance_n=100_348.alb,14,2.7208194732666016
instance_n=100_208.alb,63,3.559145212173462
instance_n=100_254.alb,15,3.426636219024658
instance_n=100_266.alb,14,4.31473970413208
instance_n=100_51.alb,54,2.98361873626709
instance_n=100_224.alb,66,3.1986570358276367
instance_n=100_163.alb,26,2.5440688133239746
instance_n=100_146.alb,58,4.085336208343506
instance_n=100_318.alb,22,2.891740083694458
instance_n=100_302.alb,25,3.0161280632019043
instance_n=100_117.alb,16,4.866531610488892
instance_n=100_514.alb,63,5.692511081695557
instance_n=100_69.alb,61,2.9265406131744385
instance_n=100_253.alb,14,3.768954277038574
instance_n=100_459.alb,25,5.313889026641846
instance_n=100_88.alb,25,4.566371917724609
instance_n=100_400.alb,25,4.685083389282227
instance_n=100_5.alb,23,2.8966445922851562
instance_n=100_312.alb,22,3.218977689743042
instance_n=100_472.alb,24,5.374646186828613
instance_n=100_46.alb,14,2.6334211826324463
instance_n=100_130.alb,62,4.667565584182739
instance_n=100_357.alb,61,3.097079038619995
instance_n=100_220.alb,62,2.8831470012664795
instance_n=100_435.alb,62,4.6832098960876465
instance_n=100_139.alb,58,4.56020975112915
instance_n=100_209.alb,65,2.984499216079712
instance_n=100_414.alb,15,4.729525089263916
instance_n=100_381.alb,25,4.285640239715576
instance_n=100_333.alb,15,2.764155387878418
instance_n=100_384.alb,26,4.233440637588501
instance_n=100_138.alb,65,4.444263935089111
instance_n=100_411.alb,15,4.120615005493164
instance_n=100_145.alb,63,4.513288259506226
instance_n=100_263.alb,14,3.8470726013183594
instance_n=100_392.alb,23,4.629545450210571
instance_n=100_365.alb,61,3.1513540744781494
instance_n=100_148.alb,60,4.6574296951293945
instance_n=100_305.alb,22,2.7870640754699707
instance_n=100_23.alb,24,0.5905568599700928
instance_n=100_90.alb,21,3.9965479373931885
instance_n=100_338.alb,15,2.9124631881713867
instance_n=100_342.alb,15,2.9915618896484375
instance_n=100_214.alb,62,3.3839948177337646
instance_n=100_77.alb,21,4.921094179153442
instance_n=100_169.alb,22,2.8421573638916016
instance_n=100_377.alb,21,4.217883348464966
instance_n=100_199.alb,14,2.105869770050049
instance_n=100_485.alb,16,5.103241443634033
instance_n=100_87.alb,23,5.584538221359253
instance_n=100_218.alb,57,3.364809274673462
instance_n=100_453.alb,25,4.926811933517456
instance_n=100_420.alb,14,4.707276821136475
instance_n=100_25.alb,23,2.722669839859009
instance_n=100_177.alb,15,2.5461320877075195
instance_n=100_72.alb,62,2.920203685760498
instance_n=100_309.alb,22,3.001692771911621
instance_n=100_477.alb,14,4.499891757965088
instance_n=100_185.alb,15,2.721757173538208
instance_n=100_484.alb,15,4.912985324859619
instance_n=100_467.alb,23,5.028095006942749
instance_n=100_151.alb,22,2.727248430252075
instance_n=100_110.alb,14,4.596658706665039
instance_n=100_273.alb,14,3.800619125366211
instance_n=100_76.alb,24,5.203065872192383
instance_n=100_442.alb,59,4.296390771865845
instance_n=100_94.alb,24,3.83221435546875
instance_n=100_328.alb,15,2.986241102218628
instance_n=100_288.alb,63,4.311906337738037
instance_n=100_154.alb,26,2.82930850982666
instance_n=100_489.alb,14,5.60516881942749
instance_n=100_422.alb,15,4.578498840332031
instance_n=100_270.alb,13,3.644930601119995
instance_n=100_375.alb,66,3.306288242340088
instance_n=100_207.alb,61,3.0185701847076416
instance_n=100_515.alb,68,5.769490480422974
instance_n=100_187.alb,14,2.9747025966644287
instance_n=100_462.alb,24,5.3132829666137695
instance_n=100_503.alb,69,5.409934997558594
instance_n=100_101.alb,16,3.8895089626312256
instance_n=100_277.alb,62,4.118786096572876
instance_n=100_434.alb,65,4.761754035949707
instance_n=100_447.alb,60,4.795936822891235
instance_n=100_307.alb,25,3.0969626903533936
instance_n=100_179.alb,15,2.967158794403076
instance_n=100_202.alb,69,3.005756378173828
instance_n=100_262.alb,14,3.7237493991851807
instance_n=100_86.alb,24,4.485946893692017
instance_n=100_494.alb,15,5.295708656311035
instance_n=100_233.alb,25,4.09831166267395
instance_n=100_79.alb,23,3.8526318073272705
instance_n=100_466.alb,29,5.0384063720703125
instance_n=100_367.alb,67,3.126375198364258
instance_n=100_2.alb,22,2.559335947036743
instance_n=100_293.alb,60,3.8253233432769775
instance_n=100_397.alb,27,4.5038769245147705
instance_n=100_279.alb,62,4.333219289779663
instance_n=100_38.alb,14,1.9140334129333496
instance_n=100_387.alb,23,4.584942817687988
instance_n=100_432.alb,64,4.752502918243408
instance_n=100_372.alb,54,2.9947152137756348
instance_n=100_13.alb,25,3.156364917755127
instance_n=100_386.alb,24,4.565196514129639
instance_n=100_56.alb,59,3.2914774417877197
instance_n=100_115.alb,14,3.7099084854125977
instance_n=100_331.alb,14,0.9726464748382568
instance_n=100_242.alb,25,3.3775370121002197
instance_n=100_448.alb,62,5.1414923667907715
instance_n=100_166.alb,25,3.0206589698791504
instance_n=100_245.alb,24,3.8116888999938965
instance_n=100_371.alb,59,3.1612813472747803
instance_n=100_35.alb,15,1.9753174781799316
instance_n=100_522.alb,65,5.686726808547974
instance_n=100_121.alb,15,4.527831554412842
instance_n=100_311.alb,22,2.8923838138580322
instance_n=100_107.alb,15,3.7337934970855713
instance_n=100_205.alb,66,3.2701480388641357
instance_n=100_437.alb,62,4.928767204284668
instance_n=100_257.alb,13,3.391906976699829
instance_n=100_73.alb,65,2.8973734378814697
instance_n=100_173.alb,25,2.872624635696411
instance_n=100_201.alb,62,3.127744674682617
instance_n=100_308.alb,21,2.9063398838043213
instance_n=100_239.alb,22,3.948148250579834
instance_n=100_482.alb,15,5.2081639766693115
instance_n=100_124.alb,16,4.3079400062561035
instance_n=100_374.alb,62,3.2274715900421143
instance_n=100_223.alb,59,3.307208776473999
instance_n=100_237.alb,25,4.513314723968506
instance_n=100_295.alb,68,3.8072047233581543
instance_n=100_334.alb,15,3.045043706893921
instance_n=100_511.alb,66,5.265390872955322
instance_n=100_345.alb,14,3.029573678970337
instance_n=100_291.alb,59,4.16381573677063
instance_n=100_4.alb,25,2.767038106918335
instance_n=100_160.alb,23,3.097320079803467
instance_n=100_438.alb,63,3.9366912841796875
instance_n=100_463.alb,26,5.224329233169556
instance_n=100_47.alb,14,1.9703309535980225
instance_n=100_518.alb,62,5.682915925979614
instance_n=100_468.alb,26,5.24379301071167
instance_n=100_306.alb,26,3.1621861457824707
instance_n=100_123.alb,15,3.82444167137146
instance_n=100_98.alb,23,3.944103717803955
instance_n=100_313.alb,24,3.031057596206665
instance_n=100_396.alb,21,4.13898491859436
instance_n=100_360.alb,66,3.8056914806365967
instance_n=100_520.alb,66,5.743330955505371
instance_n=100_401.alb,16,4.253752946853638
instance_n=100_24.alb,24,2.741203784942627
instance_n=100_112.alb,14,4.365039825439453
instance_n=100_156.alb,23,2.852818489074707
instance_n=100_60.alb,61,3.1326916217803955
instance_n=100_235.alb,27,3.846146821975708
instance_n=100_192.alb,14,2.7309203147888184
instance_n=100_140.alb,63,4.233962297439575
instance_n=100_175.alb,29,3.069854259490967
instance_n=100_418.alb,16,4.2753071784973145
instance_n=100_354.alb,60,3.248406171798706
instance_n=100_12.alb,27,2.8167812824249268
instance_n=100_406.alb,14,4.571543455123901
instance_n=100_274.alb,14,3.893028974533081
instance_n=100_454.alb,26,5.271907567977905
instance_n=100_17.alb,23,2.6192214488983154
instance_n=100_350.alb,14,2.9004836082458496
instance_n=100_14.alb,21,2.7869882583618164
instance_n=100_510.alb,62,5.55441951751709
instance_n=100_236.alb,24,3.404771089553833
instance_n=100_82.alb,23,4.511209487915039
instance_n=100_6.alb,23,2.757172107696533
instance_n=100_443.alb,64,5.207674980163574
instance_n=100_506.alb,64,5.085907697677612
instance_n=100_113.alb,14,4.3106849193573
instance_n=100_268.alb,15,3.3609731197357178
instance_n=100_45.alb,14,2.6227405071258545
instance_n=100_67.alb,63,2.82954740524292
instance_n=100_247.alb,23,3.492431640625
instance_n=100_292.alb,68,3.9912633895874023
instance_n=100_170.alb,26,2.9989616870880127
instance_n=100_28.alb,15,2.5195982456207275
instance_n=100_304.alb,22,3.0354416370391846
instance_n=100_19.alb,24,2.6899027824401855
instance_n=100_431.alb,62,4.481612682342529
instance_n=100_428.alb,66,4.569701910018921
instance_n=100_244.alb,22,3.618812084197998
instance_n=100_55.alb,60,3.0956640243530273
instance_n=100_96.alb,23,4.3923845291137695
instance_n=100_474.alb,24,4.932976245880127
instance_n=100_61.alb,63,3.2014832496643066
instance_n=100_267.alb,13,0.818549394607544
instance_n=100_200.alb,16,3.098940372467041
instance_n=100_449.alb,62,4.550318479537964
instance_n=100_370.alb,66,3.545794725418091
